0	0000000
1	0000001
2	0000010
3	0000011
4	0000100
5	0000101
6	0000110
7	0000111
8	0001000
9	0001001
А	0001010
Б	0001011
В	0001100
Г	0001101
Д	0001110
Е	0001111
Ё	0010000
Ж	0010001
З	0010010
И	0010011
Й	0010100
К	0010101
Л	0010110
М	0010111
Н	0011000
О	0011001
П	0011010
Р	0011011
С	0011100
Т	0011101
У	0011110
Ф	0011111
Х	0100000
Ц	0100001
Ч	0100010
Ш	0100011
Щ	0100100
Ь	0100101
Ы	0100110
Ъ	0100111
Э	0101000
Ю	0101001
Я	0101010
а	0101011
б	0101100
в	0101101
г	0101110
д	0101111
е	0110000
ё	0110001
ж	0110010
з	0110011
и	0110100
й	0110101
к	0110110
л	0110111
м	0111000
н	0111001
о	0111010
п	0111011
р	0111100
с	0111101
т	0111110
у	0111111
ф	1000000
х	1000001
ц	1000010
ч	1000011
ш	1000100
щ	1000101
ь	1000110
ы	1000111
ъ	1001000
э	1001001
ю	1001010
я	1001011
.	1001100
,	1001101
!	1001110
:	1001111
?	1010000
-	1010001
_	1010010
№	1010011
(	1010100
)	1010101
 	1010110
